OperatingDate,UnitName,cyHighTemperature,cyImpactName,cyLowTemperature,cyTotal,cyWeather1,cyWeather2
1/1/2015,Dollywood                     ,44,No weather impact,26,15889,L26/H45/A35/Partly Cloudy/Pleasant,
1/1/2015,Stone Mountain                ,55,No weather impact,29,8209,L29/H55/A42/P0.08/Partly Cloudy/Pleasant,
1/1/2015,Wild Adventures               ,60,No weather impact,46,2558,L46/H60/A53/Partly Cloudy/Pleasant,
1/1/2015,Newport Aquarium              ,32,No weather impact,21,2224,L21/H39/A29/Partly Cloudy/Pleasant,
1/1/2015,Adventure Aquarium            ,35,No weather impact,27,3031,L27/H41/A34/Mostly Sunny/Pleasant,
1/2/2015,Dollywood                     ,46,No weather impact,41,6618,L41/H45/A44/P0.02/Mostly Cloudy/Pleasant,
1/2/2015,Stone Mountain                ,52,Precipitation,41,2483,L41/H48/A45/P0.77/Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
1/2/2015,Wild Adventures               ,68,No weather impact,54,3294,L54/H67/A59/Partly Cloudy/Pleasant,
1/2/2015,Newport Aquarium              ,37,No weather impact,30,3228,L30/H39/A35/Partly Cloudy/Pleasant,
1/2/2015,Adventure Aquarium            ,38,No weather impact,31,4163,L31/H43/A36/Partly Cloudy/Pleasant,
1/3/2015,Dollywood                     ,63,No weather impact,45,11405,L45/H63/A54/P0.20/Mostly Cloudy/Pleasant,Some Light Rain/Cloudy
1/3/2015,Stone Mountain                ,57,No weather impact,47,2413,L47/H54/A50/P0.14/Mostly Cloudy/Pleasant,Some Light Rain
1/3/2015,Wild Adventures               ,78,No weather impact,60,4189,L60/H76/A67/P0.03/Partly Cloudy/Sticky,
1/3/2015,Newport Aquarium              ,61,Unfavorable temperature,36,2960,L36/H61/A47/P0.85/Cloudy/Pleasant,Some Hot Temps
1/3/2015,Adventure Aquarium            ,39,No weather impact,28,3382,L28/H42/A35/P0.52/Mostly Cloudy/Pleasant,
1/4/2015,Stone Mountain                ,64,Precipitation,44,1928,L44/H63/A56/P1.01/Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
1/4/2015,Wild Adventures               ,77,Precipitation,58,456,L58/H73/A68/P0.39/Mostly Cloudy/Uncomfortable,Substantial Heavy Rain/Cloudy
1/4/2015,Newport Aquarium              ,59,Unfavorable temperature,26,1484,L26/H61/A45/P0.28/Cloudy/Pleasant,Some Hot Temps
1/4/2015,Adventure Aquarium            ,56,No weather impact,41,2522,L41/H58/A49/P0.43/Mostly Cloudy/Pleasant,
1/5/2015,Stone Mountain                ,42,No weather impact,33,1627,L33/H47/A40/Mostly Sunny/Pleasant,
1/5/2015,Newport Aquarium              ,18,No weather impact,14,429,L14/H25/A19/Partly Cloudy/Pleasant,
1/5/2015,Adventure Aquarium            ,43,No weather impact,25,366,L25/H49/A36/Partly Cloudy/Pleasant,
1/6/2015,Stone Mountain                ,50,No weather impact,24,229,L24/H52/A39/Mostly Sunny/Pleasant,
1/6/2015,Newport Aquarium              ,20,Unfavorable temperature,18,347,L18/H27/A22/P0.02/S0.30/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/6/2015,Adventure Aquarium            ,23,Unfavorable temperature,18,202,L18/H24/A21/P0.11/S1.80/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/7/2015,Stone Mountain                ,33,Unfavorable temperature,16,4,L16/H39/A31/Partly Cloudy/Pleasant,Some Cold Temps
1/7/2015,Newport Aquarium              ,7,No weather impact,2,366,L2/H18/A11/Partly Cloudy/Pleasant,
1/7/2015,Adventure Aquarium            ,17,No weather impact,12,415,L12/H23/A19/Partly Cloudy/Pleasant,
1/8/2015,Stone Mountain                ,29,Unfavorable temperature,10,131,L10/H32/A20/Mostly Sunny/Pleasant,Some Cold Temps
1/8/2015,Newport Aquarium              ,13,Unfavorable temperature,3,491,L3/H22/A8/Partly Cloudy/Pleasant,Some Cold Temps
1/8/2015,Adventure Aquarium            ,12,No weather impact,9,703,L9/H18/A14/Mostly Sunny/Pleasant,
1/9/2015,Stone Mountain                ,32,Unfavorable temperature,17,507,L17/H39/A28/Partly Cloudy/Pleasant,Some Cold Temps
1/9/2015,Newport Aquarium              ,16,No weather impact,11,627,L11/H26/A19/Partly Cloudy/Pleasant,
1/9/2015,Adventure Aquarium            ,26,Unfavorable temperature,18,682,L18/H34/A27/P0.01/S0.10/Partly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/10/2015,Stone Mountain                ,45,Unfavorable temperature,21,3512,L21/H46/A31/Mostly Sunny/Pleasant,Some Cold Temps
1/10/2015,Newport Aquarium              ,23,No weather impact,4,2909,L4/H27/A15/Mostly Sunny/Pleasant,
1/10/2015,Adventure Aquarium            ,15,No weather impact,14,2170,L14/H22/A17/Mostly Sunny/Pleasant,
1/11/2015,Stone Mountain                ,38,Unfavorable temperature,26,1838,L26/H42/A35/P0.07/Mostly Cloudy/Pleasant,Some Cold Temps
1/11/2015,Newport Aquarium              ,39,No weather impact,20,1682,L20/H40/A31/P0.15/Mostly Cloudy/Pleasant,
1/11/2015,Adventure Aquarium            ,34,No weather impact,13,1732,L13/H38/A26/Partly Cloudy/Pleasant,
1/12/2015,Stone Mountain                ,46,No weather impact,37,35,L37/H47/A43/P0.01/Mostly Cloudy/Pleasant,Cloudy
1/12/2015,Newport Aquarium              ,35,No weather impact,30,422,L30/H37/A34/P0.27/Mostly Cloudy/Pleasant,
1/12/2015,Adventure Aquarium            ,36,No weather impact,32,351,L32/H38/A35/P0.45/Mostly Cloudy/Pleasant,
1/13/2015,Stone Mountain                ,46,No weather impact,40,50,L40/H47/A44/P0.02/Mostly Cloudy/Pleasant,
1/13/2015,Newport Aquarium              ,22,No weather impact,23,421,L23/H28/A26/Mostly Cloudy/Pleasant,
1/13/2015,Adventure Aquarium            ,33,No weather impact,21,746,L21/H36/A29/Partly Cloudy/Pleasant,
1/14/2015,Stone Mountain                ,41,No weather impact,34,85,L34/H43/A39/Mostly Cloudy/Pleasant,
1/14/2015,Newport Aquarium              ,27,No weather impact,20,495,L20/H29/A24/Mostly Cloudy/Pleasant,
1/14/2015,Adventure Aquarium            ,28,No weather impact,19,990,L19/H31/A25/Mostly Cloudy/Pleasant,
1/15/2015,Stone Mountain                ,42,No weather impact,30,76,L30/H39/A35/P0.13/Mostly Cloudy/Pleasant,Some Light Rain/Cloudy
1/15/2015,Newport Aquarium              ,37,No weather impact,26,592,L26/H41/A31/Partly Cloudy/Pleasant,
1/15/2015,Adventure Aquarium            ,30,No weather impact,28,743,L28/H35/A31/Mostly Cloudy/Pleasant,
1/16/2015,Stone Mountain                ,50,No weather impact,31,349,L31/H52/A40/Mostly Sunny/Pleasant,
1/16/2015,Newport Aquarium              ,35,No weather impact,25,1531,L25/H43/A33/Partly Cloudy/Pleasant,
1/16/2015,Adventure Aquarium            ,36,No weather impact,26,1190,L26/H42/A33/Mostly Sunny/Pleasant,
1/17/2015,Stone Mountain                ,57,No weather impact,26,5771,L26/H57/A41/Mostly Sunny/Pleasant,
1/17/2015,Newport Aquarium              ,47,Unfavorable temperature,26,4400,L26/H55/A40/Partly Cloudy/Pleasant,Some Hot Temps
1/17/2015,Adventure Aquarium            ,28,No weather impact,17,4110,L17/H33/A25/Mostly Sunny/Pleasant,
1/18/2015,Stone Mountain                ,54,No weather impact,31,3914,L31/H58/A45/Partly Cloudy/Pleasant,
1/18/2015,Newport Aquarium              ,43,Unfavorable temperature,38,4133,L38/H50/A43/P0.08/Mostly Cloudy/Pleasant,Some Hot Temps
1/18/2015,Adventure Aquarium            ,41,Unfavorable temperature,24,1958,L24/H41/A34/P1.52/S0.10/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/19/2015,Stone Mountain                ,64,No weather impact,31,3789,L31/H65/A47/Partly Cloudy/Pleasant,
1/19/2015,Newport Aquarium              ,52,No weather impact,26,4554,L26/H52/A38/Partly Cloudy/Pleasant,
1/19/2015,Adventure Aquarium            ,38,No weather impact,31,4339,L31/H44/A38/Mostly Cloudy/Pleasant,
1/20/2015,Stone Mountain                ,65,No weather impact,38,173,L38/H66/A50/Partly Cloudy/Pleasant,
1/20/2015,Newport Aquarium              ,55,Unfavorable temperature,34,660,L34/H56/A42/Partly Cloudy/Pleasant,Some Hot Temps
1/20/2015,Adventure Aquarium            ,43,No weather impact,30,1066,L30/H45/A36/Mostly Cloudy/Pleasant,
1/21/2015,Stone Mountain                ,63,No weather impact,39,222,L39/H63/A49/Partly Cloudy/Pleasant,
1/21/2015,Newport Aquarium              ,48,Unfavorable temperature,37,395,L37/H51/A42/Mostly Cloudy/Pleasant,Some Hot Temps
1/21/2015,Adventure Aquarium            ,30,Unfavorable temperature,27,792,L27/H33/A29/P0.07/S0.70/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/22/2015,Stone Mountain                ,57,No weather impact,36,750,L36/H54/A46/P0.01/Mostly Cloudy/Pleasant,Cloudy
1/22/2015,Newport Aquarium              ,35,No weather impact,34,587,L34/H37/A36/Mostly Cloudy/Pleasant,
1/22/2015,Adventure Aquarium            ,34,Unfavorable temperature,29,529,L29/H39/A34/P0.03/S0.20/Partly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/23/2015,Stone Mountain                ,43,Precipitation,39,644,L39/H44/A42/P0.73/Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
1/23/2015,Newport Aquarium              ,39,No weather impact,32,938,L32/H40/A35/Mostly Cloudy/Pleasant,
1/23/2015,Adventure Aquarium            ,37,No weather impact,26,1320,L26/H39/A33/P0.04/Partly Cloudy/Pleasant,
1/24/2015,Stone Mountain                ,40,No weather impact,36,2801,L36/H48/A41/Partly Cloudy/Pleasant,
1/24/2015,Newport Aquarium              ,37,No weather impact,27,4156,L27/H43/A34/Partly Cloudy/Pleasant,
1/24/2015,Adventure Aquarium            ,32,No weather impact,32,1740,L32/H38/A34/P0.55/Mostly Cloudy/Pleasant,
1/25/2015,Stone Mountain                ,57,No weather impact,29,4089,L29/H58/A44/P0.03/Partly Cloudy/Pleasant,
1/25/2015,Newport Aquarium              ,39,No weather impact,32,2514,L32/H42/A37/P0.40/Cloudy/Pleasant,
1/25/2015,Adventure Aquarium            ,40,No weather impact,33,3225,L33/H45/A39/Mostly Cloudy/Pleasant,
1/26/2015,Stone Mountain                ,42,No weather impact,34,35,L34/H45/A40/P0.01/Cloudy/Pleasant,Cloudy
1/26/2015,Newport Aquarium              ,25,Unfavorable temperature,21,721,L21/H32/A25/P0.02/S0.20/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
1/26/2015,Adventure Aquarium            ,28,No weather impact,25,61,L25/H32/A28/Mostly Cloudy/Pleasant,
1/27/2015,Stone Mountain                ,43,No weather impact,30,76,L30/H46/A38/Mostly Cloudy/Pleasant,
1/27/2015,Newport Aquarium              ,24,No weather impact,18,473,L18/H30/A23/Mostly Cloudy/Pleasant,
1/27/2015,Adventure Aquarium            ,25,No weather impact,21,0,L21/H32/A27/Mostly Cloudy/Pleasant,
1/28/2015,Stone Mountain                ,53,No weather impact,30,140,L30/H53/A39/Mostly Sunny/Pleasant,
1/28/2015,Newport Aquarium              ,33,No weather impact,15,634,L15/H36/A25/Partly Cloudy/Pleasant,
1/28/2015,Adventure Aquarium            ,27,No weather impact,17,482,L17/H33/A25/Mostly Sunny/Pleasant,
1/29/2015,Stone Mountain                ,57,No weather impact,30,116,L30/H58/A43/Partly Cloudy/Pleasant,
1/29/2015,Newport Aquarium              ,46,No weather impact,31,493,L31/H50/A38/P0.10/Cloudy/Pleasant,
1/29/2015,Adventure Aquarium            ,32,No weather impact,18,674,L18/H34/A28/Partly Cloudy/Pleasant,
1/30/2015,Stone Mountain                ,49,No weather impact,37,16,L37/H52/A43/Partly Cloudy/Pleasant,
1/30/2015,Newport Aquarium              ,31,No weather impact,22,860,L22/H35/A30/Mostly Cloudy/Pleasant,
1/30/2015,Adventure Aquarium            ,33,No weather impact,20,1094,L20/H39/A33/Mostly Cloudy/Pleasant,
1/31/2015,Stone Mountain                ,52,No weather impact,24,4880,L24/H53/A40/Partly Cloudy/Pleasant,
1/31/2015,Newport Aquarium              ,35,No weather impact,16,4599,L16/H39/A29/P0.01/Mostly Cloudy/Pleasant,
1/31/2015,Adventure Aquarium            ,16,No weather impact,12,3487,L12/H27/A20/Mostly Sunny/Pleasant,
2/1/2015,Stone Mountain                ,55,Precipitation,37,1305,L37/H56/A47/P0.45/Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
2/1/2015,Newport Aquarium              ,44,No weather impact,33,1603,L33/H46/A39/P0.26/Cloudy/Pleasant,
2/1/2015,Adventure Aquarium            ,37,No weather impact,20,2243,L20/H38/A31/Mostly Cloudy/Pleasant,
2/2/2015,Stone Mountain                ,51,Precipitation,28,2,L28/H55/A42/P0.34/Mostly Cloudy/Pleasant,Substantial Heavy Rain
2/2/2015,Newport Aquarium              ,39,No weather impact,21,588,L21/H43/A27/Mostly Cloudy/Pleasant,
2/2/2015,Adventure Aquarium            ,38,Unfavorable temperature,21,801,L21/H39/A32/P0.84/S0.40/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
2/3/2015,Stone Mountain                ,49,No weather impact,25,76,L25/H49/A35/Partly Cloudy/Pleasant,
2/3/2015,Newport Aquarium              ,31,No weather impact,21,497,L21/H37/A28/Partly Cloudy/Pleasant,
2/3/2015,Adventure Aquarium            ,25,No weather impact,18,724,L18/H29/A23/Mostly Sunny/Pleasant,
2/4/2015,Stone Mountain                ,49,No weather impact,30,75,L30/H50/A40/Mostly Cloudy/Pleasant,Cloudy
2/4/2015,Newport Aquarium              ,47,Unfavorable temperature,27,721,L27/H49/A38/P0.06/S0.50/Partly Cloudy/Pleasant,Some Light Snow/Some Light Snow
2/4/2015,Adventure Aquarium            ,43,No weather impact,22,653,L22/H46/A35/Partly Cloudy/Pleasant,
2/5/2015,Stone Mountain                ,42,No weather impact,33,0,L33/H50/A42/Partly Cloudy/Pleasant,
2/5/2015,Newport Aquarium              ,20,No weather impact,14,784,L14/H25/A20/Partly Cloudy/Pleasant,
2/5/2015,Adventure Aquarium            ,34,No weather impact,15,824,L15/H40/A29/Partly Cloudy/Pleasant,
2/6/2015,Stone Mountain                ,50,No weather impact,22,191,L22/H51/A36/Mostly Sunny/Pleasant,
2/6/2015,Newport Aquarium              ,28,No weather impact,12,1217,L12/H35/A24/Partly Cloudy/Pleasant,
2/6/2015,Adventure Aquarium            ,21,No weather impact,11,826,L11/H32/A21/Partly Cloudy/Pleasant,
2/7/2015,Stone Mountain                ,63,No weather impact,26,4788,L26/H64/A44/Mostly Sunny/Pleasant,
2/7/2015,Newport Aquarium              ,53,No weather impact,28,5443,L28/H58/A42/Partly Cloudy/Pleasant,
2/7/2015,Adventure Aquarium            ,40,No weather impact,17,3632,L17/H45/A33/Mostly Cloudy/Pleasant,
2/8/2015,Stone Mountain                ,66,No weather impact,32,4455,L32/H66/A51/Partly Cloudy/Pleasant,
2/8/2015,Newport Aquarium              ,60,No weather impact,47,3897,L47/H59/A52/Partly Cloudy/Pleasant,
2/8/2015,Adventure Aquarium            ,48,No weather impact,34,3324,L34/H50/A39/Mostly Cloudy/Pleasant,
2/9/2015,Stone Mountain                ,61,Precipitation,47,187,L47/H61/A56/P0.37/Mostly Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
2/9/2015,Newport Aquarium              ,50,No weather impact,27,977,L27/H52/A34/P0.02/Cloudy/Pleasant,
2/9/2015,Adventure Aquarium            ,31,Unfavorable temperature,28,611,L28/H36/A30/P0.03/S0.30/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
2/10/2015,Stone Mountain                ,52,No weather impact,38,165,L38/H55/A44/Partly Cloudy/Pleasant,
2/10/2015,Newport Aquarium              ,27,No weather impact,24,586,L24/H35/A27/Mostly Cloudy/Pleasant,
2/10/2015,Adventure Aquarium            ,31,No weather impact,27,761,L27/H40/A32/Partly Cloudy/Pleasant,
2/11/2015,Stone Mountain                ,60,No weather impact,29,225,L29/H62/A45/Mostly Sunny/Pleasant,
2/11/2015,Newport Aquarium              ,42,No weather impact,23,835,L23/H45/A33/Mostly Cloudy/Pleasant,
2/11/2015,Adventure Aquarium            ,36,No weather impact,27,1028,L27/H38/A32/Partly Cloudy/Pleasant,
2/12/2015,Stone Mountain                ,41,No weather impact,28,0,L28/H48/A40/Mostly Sunny/Pleasant,
2/12/2015,Newport Aquarium              ,21,No weather impact,21,838,L21/H33/A25/Mostly Cloudy/Pleasant,
2/12/2015,Adventure Aquarium            ,35,No weather impact,23,1132,L23/H41/A33/Mostly Cloudy/Pleasant,
2/13/2015,Stone Mountain                ,39,Unfavorable temperature,25,2045,L25/H43/A32/Partly Cloudy/Pleasant,Some Cold Temps
2/13/2015,Newport Aquarium              ,24,No weather impact,16,2909,L16/H31/A23/Mostly Cloudy/Pleasant,
2/13/2015,Adventure Aquarium            ,17,No weather impact,8,2423,L8/H22/A16/Mostly Sunny/Pleasant,
2/14/2015,Stone Mountain                ,58,No weather impact,26,4460,L26/H59/A43/Mostly Sunny/Pleasant,
2/14/2015,Newport Aquarium              ,23,Unfavorable temperature,10,6200,L10/H34/A25/P0.01/S0.10/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
2/14/2015,Adventure Aquarium            ,28,Unfavorable temperature,15,4726,L15/H30/A24/P0.06/S0.70/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
2/15/2015,Stone Mountain                ,35,Unfavorable temperature,22,4671,L22/H45/A33/Partly Cloudy/Pleasant,Some Cold Temps
2/15/2015,Newport Aquarium              ,6,No weather impact,6,4989,L6/H19/A12/Partly Cloudy/Pleasant,
2/15/2015,Adventure Aquarium            ,9,No weather impact,7,2987,L7/H20/A12/Partly Cloudy/Pleasant,
2/16/2015,Stone Mountain                ,42,Both precipitation/temp,32,834,L32/H37/A34/P0.76/S1.80/Mostly Cloudy/Pleasant,Substantial Heavy Rain/Substantial Heavy Snow/Some Cold Temp
2/16/2015,Newport Aquarium              ,8,Precipitation,9,347,L9/H13/A11/P0.31/S8.30/Mostly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
2/16/2015,Adventure Aquarium            ,15,Unfavorable temperature,1,5021,L1/H16/A9/Partly Cloudy/Pleasant,Some Cold Temps
2/17/2015,Stone Mountain                ,36,Unfavorable temperature,27,0,L27/H36/A32/P0.09/Mostly Cloudy/Pleasant,Some Cold Temps/Cloudy
2/17/2015,Newport Aquarium              ,11,No weather impact,1,756,L1/H24/A13/Mostly Cloudy/Pleasant,
2/17/2015,Adventure Aquarium            ,18,Precipitation,13,724,L13/H28/A19/P0.22/S5.40/Mostly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
2/18/2015,Stone Mountain                ,27,Unfavorable temperature,21,37,L21/H35/A28/Partly Cloudy/Pleasant,Some Cold Temps
2/18/2015,Newport Aquarium              ,11,No weather impact,5,491,L5/H18/A15/Mostly Cloudy/Pleasant,
2/18/2015,Adventure Aquarium            ,31,No weather impact,9,917,L9/H32/A21/Partly Cloudy/Pleasant,
2/19/2015,Stone Mountain                ,15,Unfavorable temperature,13,22,L13/H26/A20/Mostly Sunny/Pleasant,Some Cold Temps
2/19/2015,Newport Aquarium              ,2,Unfavorable temperature,3,1441,L3/H9/A3/Partly Cloudy/Pleasant,Some Cold Temps
2/19/2015,Adventure Aquarium            ,11,No weather impact,9,1445,L9/H22/A15/Partly Cloudy/Pleasant,
2/20/2015,Stone Mountain                ,32,Unfavorable temperature,16,9,L16/H35/A25/Partly Cloudy/Pleasant,Some Cold Temps
2/20/2015,Newport Aquarium              ,17,Unfavorable temperature,8,1781,L8/H19/A7/Partly Cloudy/Pleasant,Some Cold Temps
2/20/2015,Adventure Aquarium            ,8,Unfavorable temperature,1,1533,L1/H18/A9/Mostly Sunny/Pleasant,Some Cold Temps
2/21/2015,Stone Mountain                ,49,No weather impact,32,3239,L32/H50/A40/P0.07/Mostly Cloudy/Pleasant,
2/21/2015,Newport Aquarium              ,32,Precipitation,21,1800,L21/H34/A29/P0.66/S6.90/Mostly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
2/21/2015,Adventure Aquarium            ,28,Precipitation,5,2612,L5/H32/A19/P0.56/S7.50/Mostly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
2/22/2015,Stone Mountain                ,53,Precipitation,41,1383,L41/H53/A47/P0.36/Mostly Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
2/22/2015,Newport Aquarium              ,32,No weather impact,21,3716,L21/H34/A27/Mostly Cloudy/Pleasant,
2/22/2015,Adventure Aquarium            ,44,No weather impact,32,2282,L32/H44/A36/P0.19/Mostly Cloudy/Pleasant,
2/23/2015,Stone Mountain                ,44,Precipitation,37,14,L37/H48/A42/P0.26/Mostly Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
2/23/2015,Newport Aquarium              ,14,No weather impact,5,1000,L5/H22/A14/Partly Cloudy/Pleasant,
2/23/2015,Adventure Aquarium            ,32,No weather impact,10,1366,L10/H36/A26/Partly Cloudy/Pleasant,
2/24/2015,Stone Mountain                ,39,Unfavorable temperature,29,4,L29/H37/A34/P0.14/Partly Cloudy/Pleasant,Some Light Rain/Some Cold Temps
2/24/2015,Newport Aquarium              ,21,No weather impact,4,1064,L4/H29/A14/Partly Cloudy/Pleasant,
2/24/2015,Adventure Aquarium            ,19,No weather impact,3,1265,L3/H26/A16/Partly Cloudy/Pleasant,
2/25/2015,Stone Mountain                ,37,Both precipitation/temp,30,0,L30/H38/A33/P0.56/Cloudy/Pleasant,Substantial Heavy Rain/Some Cold Temps/Cloudy
2/25/2015,Newport Aquarium              ,37,No weather impact,21,868,L21/H37/A29/Partly Cloudy/Pleasant,
2/25/2015,Adventure Aquarium            ,33,No weather impact,13,1398,L13/H38/A27/Partly Cloudy/Pleasant,
2/26/2015,Stone Mountain                ,38,Unfavorable temperature,32,12,L32/H39/A35/P0.02/Mostly Cloudy/Pleasant,Some Cold Temps
2/26/2015,Newport Aquarium              ,19,No weather impact,11,948,L11/H26/A21/Mostly Cloudy/Pleasant,
2/26/2015,Adventure Aquarium            ,28,Unfavorable temperature,24,1112,L24/H31/A29/P0.01/S0.10/Mostly Cloudy/Pleasant,Some Light Snow/Some Light Snow
2/27/2015,Stone Mountain                ,44,No weather impact,27,28,L27/H48/A36/Mostly Sunny/Pleasant,
2/27/2015,Newport Aquarium              ,22,No weather impact,9,2106,L9/H24/A15/Partly Cloudy/Pleasant,
2/27/2015,Adventure Aquarium            ,24,No weather impact,21,2038,L21/H31/A25/Partly Cloudy/Pleasant,
2/28/2015,Stone Mountain                ,50,No weather impact,30,3069,L30/H53/A42/Mostly Cloudy/Pleasant,
2/28/2015,Newport Aquarium              ,26,No weather impact,8,6910,L8/H30/A20/Mostly Cloudy/Pleasant,
2/28/2015,Adventure Aquarium            ,30,No weather impact,16,5119,L16/H31/A24/Partly Cloudy/Pleasant,
3/1/2015,Stone Mountain                ,45,No weather impact,35,1355,L35/H46/A40/P0.07/Cloudy/Pleasant,Cloudy
3/1/2015,Newport Aquarium              ,34,Precipitation,24,3492,L24/H35/A31/P0.18/S1.80/Mostly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
3/1/2015,Adventure Aquarium            ,32,Precipitation,18,2265,L18/H33/A26/P0.44/S5.10/Partly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
3/2/2015,Stone Mountain                ,62,No weather impact,44,182,L44/H63/A53/P0.02/Mostly Cloudy/Pleasant,
3/2/2015,Newport Aquarium              ,33,No weather impact,21,860,L21/H35/A29/Partly Cloudy/Pleasant,
3/2/2015,Adventure Aquarium            ,32,No weather impact,28,560,L28/H39/A34/Partly Cloudy/Pleasant,
3/3/2015,Stone Mountain                ,55,No weather impact,47,64,L47/H53/A50/P0.17/Cloudy/Pleasant,Some Light Rain/Cloudy
3/3/2015,Newport Aquarium              ,49,No weather impact,26,529,L26/H50/A37/P0.79/Mostly Cloudy/Pleasant,
3/3/2015,Adventure Aquarium            ,28,Precipitation,22,1326,L22/H33/A29/P0.46/S3.10/Partly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
3/4/2015,Stone Mountain                ,77,No weather impact,47,447,L47/H75/A60/P0.02/Partly Cloudy/Pleasant,
3/4/2015,Newport Aquarium              ,42,Precipitation,25,378,L25/H41/A35/P0.98/S2.30/Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
3/4/2015,Adventure Aquarium            ,45,No weather impact,34,1055,L34/H46/A40/P0.43/Mostly Cloudy/Pleasant,
3/5/2015,Stone Mountain                ,65,No weather impact,30,0,L30/H65/A48/P0.18/Mostly Cloudy/Pleasant,Some Light Rain
3/5/2015,Newport Aquarium              ,18,Unfavorable temperature,14,354,L14/H26/A20/P0.04/S0.60/Mostly Cloudy/Pleasant,Some Light Snow/Some Cold Temps
3/5/2015,Adventure Aquarium            ,39,Precipitation,20,0,L20/H41/A28/P0.71/S5.70/Mostly Cloudy/Pleasant,Substantial Heavy Snow/Substantial Heavy Snow
3/6/2015,Stone Mountain                ,47,No weather impact,28,197,L28/H50/A38/Partly Cloudy/Pleasant,
3/6/2015,Newport Aquarium              ,22,Unfavorable temperature,5,1302,L5/H29/A18/Mostly Sunny/Pleasant,Some Cold Temps
3/6/2015,Adventure Aquarium            ,25,Unfavorable temperature,6,810,L6/H26/A17/Partly Cloudy/Pleasant,Some Cold Temps
3/7/2015,Stone Mountain                ,61,No weather impact,25,2144,L25/H62/A43/Mostly Sunny/Pleasant,
3/7/2015,Newport Aquarium              ,43,No weather impact,21,3936,L21/H47/A34/Partly Cloudy/Pleasant,
3/7/2015,Adventure Aquarium            ,34,No weather impact,9,4733,L9/H39/A25/Partly Cloudy/Pleasant,
3/8/2015,Stone Mountain                ,70,No weather impact,30,2056,L30/H71/A51/Partly Cloudy/Pleasant,
3/8/2015,Newport Aquarium              ,52,No weather impact,31,2939,L31/H53/A42/Partly Cloudy/Pleasant,
3/8/2015,Adventure Aquarium            ,44,No weather impact,28,4103,L28/H49/A39/Partly Cloudy/Pleasant,
3/9/2015,Stone Mountain                ,67,No weather impact,52,346,L52/H66/A58/Mostly Cloudy/Pleasant,Cloudy
3/9/2015,Newport Aquarium              ,56,No weather impact,35,983,L35/H57/A46/Partly Cloudy/Pleasant,
3/9/2015,Adventure Aquarium            ,51,No weather impact,33,923,L33/H53/A42/Partly Cloudy/Pleasant,
3/10/2015,Stone Mountain                ,78,No weather impact,55,277,L55/H76/A64/P0.02/Mostly Cloudy/Pleasant,Cloudy
3/10/2015,Newport Aquarium              ,49,No weather impact,44,957,L44/H50/A47/P0.79/Mostly Cloudy/Pleasant,
3/10/2015,Adventure Aquarium            ,56,No weather impact,34,1138,L34/H57/A45/P0.44/Mostly Cloudy/Pleasant,
3/11/2015,Stone Mountain                ,76,No weather impact,54,430,L54/H73/A64/P0.06/Mostly Cloudy/Comfortable,Cloudy
3/11/2015,Newport Aquarium              ,64,No weather impact,44,770,L44/H64/A52/Partly Cloudy/Pleasant,
3/11/2015,Adventure Aquarium            ,67,No weather impact,43,1476,L43/H67/A53/P0.14/Mostly Cloudy/Pleasant,
3/12/2015,Stone Mountain                ,65,No weather impact,56,354,L56/H66/A61/P0.04/Mostly Cloudy/Pleasant,Cloudy
3/12/2015,Newport Aquarium              ,61,No weather impact,35,705,L35/H61/A48/Partly Cloudy/Pleasant,
3/12/2015,Adventure Aquarium            ,47,No weather impact,37,1107,L37/H52/A46/Mostly Sunny/Pleasant,
3/13/2015,Silver Dollar City            ,56,Precipitation,52,0,L52/H57/A54/P0.55/Mostly Cloudy/Pleasant,Substantial Heavy Rain/Cloudy
